"Date","Price","Open","High","Low","Vol.","Change %"
"11/26/2019","135.09","136.15","136.15","134.77","3.79M","-0.65%"
"11/25/2019","135.97","134.47","136.00","134.35","2.59M","1.21%"
"11/22/2019","134.34","134.19","134.65","133.59","3.30M","0.37%"
"11/21/2019","133.84","133.40","134.17","132.98","3.35M","0.48%"
"11/20/2019","133.20","134.06","134.46","132.75","4.14M","-0.98%"
"11/19/2019","134.52","134.88","135.38","134.46","3.00M","0.16%"
"11/18/2019","134.31","134.30","134.48","133.23","3.21M","-0.07%"
"11/15/2019","134.40","134.39","135.12","134.03","3.26M","0.30%"
"11/14/2019","134.00","134.13","134.33","133.33","4.23M","-0.36%"
"11/13/2019","134.48","135.39","135.58","133.84","3.06M","-0.82%"
"11/12/2019","135.59","135.87","136.66","135.02","3.05M","0.09%"
"11/11/2019","135.47","137.20","137.20","135.00","2.57M","-1.56%"
"11/08/2019","137.61","137.58","137.61","136.16","2.28M","-0.06%"
"11/07/2019","137.69","137.87","139.13","137.58","4.07M","-0.79%"
"11/06/2019","138.78","138.00","138.78","137.55","4.48M","0.65%"
"11/05/2019","137.89","137.80","138.76","137.63","3.01M","0.16%"
"11/04/2019","137.67","136.24","137.74","136.23","3.34M","1.58%"
"11/01/2019","135.53","134.50","135.56","134.09","3.09M","1.35%"
"10/31/2019","133.73","135.11","135.25","133.23","3.41M","-1.12%"
"10/30/2019","135.25","133.83","135.28","133.20","2.25M","1.07%"
"10/29/2019","133.82","135.42","135.57","133.44","4.16M","-1.58%"
"10/28/2019","135.97","136.00","136.63","135.44","3.23M","0.39%"
"10/25/2019","135.44","134.12","135.93","134.10","2.58M","1.02%"
"10/24/2019","134.07","134.83","135.07","133.30","2.62M","-0.23%"
"10/23/2019","134.38","133.52","134.56","132.70","3.63M","0.31%"
"10/22/2019","133.96","132.55","134.05","131.61","4.20M","1.04%"
"10/21/2019","132.58","132.61","133.10","130.90","6.37M","-1.13%"
"10/18/2019","134.09","134.22","134.49","132.25","7.18M","-0.13%"
"10/17/2019","134.26","135.00","136.00","132.91","15.83M","-5.52%"
"10/16/2019","142.11","142.49","142.95","141.39","5.92M","-0.62%"
"10/15/2019","143.00","142.54","143.72","141.81","3.05M","0.68%"
"10/14/2019","142.04","142.31","142.43","141.32","2.33M","-0.50%"
"10/11/2019","142.76","142.77","144.50","142.61","3.02M","1.15%"
"10/10/2019","141.13","139.77","141.78","139.56","2.65M","1.05%"
"10/09/2019","139.67","139.77","140.33","138.79","2.63M","0.93%"
"10/08/2019","138.38","140.24","140.47","138.25","3.34M","-2.05%"
"10/07/2019","141.28","142.26","142.70","141.22","2.49M","-1.20%"
"10/04/2019","142.99","142.06","143.06","141.03","2.45M","0.68%"
"10/03/2019","142.02","141.62","142.07","139.18","3.16M","0.23%"
"10/02/2019","141.69","142.19","142.27","140.57","3.35M","-1.37%"
"10/01/2019","143.66","145.59","147.35","143.54","2.97M","-1.21%"
"09/30/2019","145.42","143.73","146.57","143.73","4.00M","1.52%"
"09/27/2019","143.24","144.41","145.09","142.38","2.36M","-0.22%"
"09/26/2019","143.55","143.17","143.88","141.41","2.31M","0.27%"
"09/25/2019","143.16","141.74","143.63","140.86","2.55M","1.04%"
"09/24/2019","141.68","142.50","142.89","141.07","3.31M","-0.27%"
"09/23/2019","142.07","141.19","142.22","140.56","1.85M","0.13%"
"09/20/2019","141.88","143.25","143.83","141.82","5.22M","-0.76%"
"09/19/2019","142.97","142.46","145.03","142.45","3.18M","0.53%"
"09/18/2019","142.22","142.05","142.30","140.51","2.00M","0.01%"
"09/17/2019","142.20","142.48","142.48","140.66","2.94M","-0.20%"
"09/16/2019","142.48","142.56","143.64","142.27","1.93M","-0.83%"
"09/13/2019","143.67","144.32","144.65","143.26","2.21M","0.03%"
"09/12/2019","143.62","144.03","144.04","141.88","2.51M","0.01%"
"09/11/2019","143.60","144.85","145.12","142.71","3.87M","-1.00%"
"09/10/2019","145.05","143.00","145.46","142.96","4.98M","1.72%"
"09/09/2019","142.60","140.59","143.02","140.46","4.23M","1.44%"
"09/06/2019","140.57","141.52","141.53","140.46","2.58M","-0.28%"
"09/05/2019","140.97","138.30","141.69","138.05","5.01M","3.41%"
"09/04/2019","136.32","135.71","136.43","135.15","2.26M","1.66%"
"09/03/2019","134.10","134.85","134.90","133.33","2.83M","-1.06%"
"08/30/2019","135.53","135.58","136.07","134.36","2.96M","0.48%"
"08/29/2019","134.88","134.18","135.69","134.04","2.97M","1.60%"
"08/28/2019","132.76","130.44","132.89","130.04","2.72M","1.21%"
"08/27/2019","131.17","131.20","131.70","130.31","4.73M","0.91%"
"08/26/2019","129.99","131.05","131.30","129.16","2.84M","0.32%"
"08/23/2019","129.57","133.63","134.26","128.83","4.82M","-3.54%"
"08/22/2019","134.32","134.69","135.68","133.81","2.70M","0.05%"
"08/21/2019","134.25","134.96","135.94","133.80","2.81M","0.94%"
"08/20/2019","133.00","135.24","135.28","132.81","3.02M","-1.51%"
"08/19/2019","135.04","134.88","136.33","134.88","3.17M","0.96%"
"08/16/2019","133.76","133.04","134.59","132.95","3.01M","1.39%"
"08/15/2019","131.92","131.22","132.37","130.25","3.74M","0.51%"
"08/14/2019","131.25","133.91","134.16","130.98","5.11M","-3.34%"
"08/13/2019","135.79","133.80","136.57","132.81","4.55M","1.59%"
"08/12/2019","133.67","135.66","135.87","133.18","4.08M","-1.81%"
"08/09/2019","136.13","139.27","139.31","135.35","5.24M","-2.83%"
"08/08/2019","140.10","138.45","140.42","137.76","5.26M","0.71%"
"08/07/2019","139.11","138.74","139.58","136.41","5.93M","-1.15%"
"08/06/2019","140.73","142.03","142.47","139.31","5.07M","-0.02%"
"08/05/2019","140.76","144.98","145.10","139.15","7.11M","-4.41%"
"08/02/2019","147.25","149.03","152.95","145.59","8.10M","-2.04%"
"08/01/2019","150.32","148.90","152.82","148.50","6.34M","1.40%"
"07/31/2019","148.24","149.70","150.18","146.39","3.72M","-1.02%"
"07/30/2019","149.77","150.00","150.40","149.22","2.63M","-0.74%"
"07/29/2019","150.88","151.11","151.48","150.32","2.08M","-0.32%"
"07/26/2019","151.36","151.00","151.41","150.10","2.90M","0.64%"
"07/25/2019","150.39","149.82","150.62","148.61","3.10M","0.24%"
"07/24/2019","150.03","150.12","151.45","149.19","2.95M","-0.23%"
"07/23/2019","150.38","150.57","150.72","148.38","3.74M","0.43%"
"07/22/2019","149.74","150.16","151.94","149.70","4.09M","0.04%"
"07/19/2019","149.68","149.96","151.58","149.55","7.29M","0.03%"
"07/18/2019","149.63","142.50","150.31","142.20","12.70M","4.59%"
"07/17/2019","143.07","143.61","143.80","141.95","6.06M","-0.32%"
"07/16/2019","143.53","143.17","144.04","143.02","3.47M","0.15%"
"07/15/2019","143.32","142.89","143.51","142.12","2.37M","0.41%"
"07/12/2019","142.74","141.92","142.92","141.66","2.79M","1.06%"
"07/11/2019","141.24","140.79","141.58","140.30","2.13M","0.55%"
"07/10/2019","140.47","140.00","141.91","139.79","2.51M","0.82%"
"07/09/2019","139.33","140.61","140.99","139.13","3.37M","-0.88%"
"07/08/2019","140.57","141.05","141.28","140.27","2.40M","-0.57%"
"07/05/2019","141.38","140.87","141.49","139.91","2.14M","-0.11%"
"07/03/2019","141.54","140.72","141.82","140.43","1.93M","0.94%"
"07/02/2019","140.22","139.75","140.43","139.47","2.41M","0.24%"
"07/01/2019","139.88","139.60","141.49","139.28","3.39M","1.44%"
"06/28/2019","137.90","138.57","139.14","137.84","6.15M","-0.45%"
"06/27/2019","138.52","138.72","139.30","137.95","2.15M","0.00%"
"06/26/2019","138.52","138.87","139.68","138.41","2.28M","0.12%"
"06/25/2019","138.36","139.46","139.55","138.13","2.80M","-0.71%"
"06/24/2019","139.35","139.20","140.15","139.05","2.19M","0.11%"
"06/21/2019","139.20","138.44","139.54","138.39","5.29M","0.25%"
"06/20/2019","138.85","138.93","139.54","138.20","3.07M","1.29%"
"06/19/2019","137.08","136.43","138.36","136.24","2.38M","0.51%"
"06/18/2019","136.38","135.20","137.19","135.20","2.91M","1.06%"
"06/17/2019","134.95","135.39","136.03","134.70","2.19M","-0.15%"
"06/14/2019","135.15","135.44","135.88","134.43","2.19M","-0.45%"
"06/13/2019","135.76","135.13","136.27","135.09","2.96M","0.66%"
"06/12/2019","134.87","135.56","135.94","134.41","2.25M","-0.79%"
"06/11/2019","135.95","135.32","136.46","135.05","3.41M","0.90%"
"06/10/2019","134.74","134.38","135.35","133.91","2.91M","1.07%"
"06/07/2019","133.31","132.47","134.72","132.21","2.55M","0.82%"
"06/06/2019","132.22","132.19","132.65","130.90","2.30M","0.56%"
"06/05/2019","131.49","133.38","133.61","130.47","3.16M","-0.90%"
"06/04/2019","132.69","129.56","132.74","129.09","3.91M","3.45%"
"06/03/2019","128.27","127.10","128.56","127.06","4.27M","1.01%"
"05/31/2019","126.99","128.44","128.44","126.85","3.54M","-1.99%"
"05/30/2019","129.57","129.74","129.97","128.93","2.74M","-0.09%"
"05/29/2019","129.69","130.00","130.28","128.32","3.68M","-0.59%"
"05/28/2019","130.46","132.13","132.64","130.27","4.91M","-1.38%"
"05/24/2019","132.28","133.53","134.25","131.59","2.60M","-0.08%"
"05/23/2019","132.39","135.13","135.13","130.44","5.34M","-2.90%"
"05/22/2019","136.35","136.00","136.75","135.71","1.85M","-0.07%"
"05/21/2019","136.45","136.12","137.06","135.79","2.50M","0.98%"
"05/20/2019","135.12","133.53","135.43","132.93","3.26M","0.60%"
"05/17/2019","134.32","134.68","135.41","133.94","2.62M","-1.15%"
"05/16/2019","135.88","134.74","136.11","134.64","3.02M","1.10%"
"05/15/2019","134.40","132.59","134.59","132.37","2.55M","0.82%"
"05/14/2019","133.31","131.82","134.32","131.68","3.28M","1.44%"
"05/13/2019","131.42","133.28","133.57","130.96","4.96M","-2.88%"
"05/10/2019","135.32","134.88","135.75","132.42","3.98M","-0.01%"
"05/09/2019","135.34","134.89","135.58","133.03","4.19M","-1.93%"
"05/08/2019","138.00","137.77","138.70","137.13","3.82M","0.26%"
"05/07/2019","137.64","139.15","139.51","136.19","4.73M","-1.95%"
"05/06/2019","140.38","138.30","140.69","137.90","2.79M","0.09%"
"05/03/2019","140.25","139.70","141.00","139.63","2.58M","0.47%"
"05/02/2019","139.59","140.50","141.28","139.41","3.54M","-0.69%"
"05/01/2019","140.56","140.55","141.81","140.17","3.05M","0.21%"
"04/30/2019","140.27","139.11","140.44","138.68","4.64M","0.88%"
"04/29/2019","139.05","139.15","139.63","138.81","2.96M","-0.28%"
"04/26/2019","139.44","139.34","139.89","138.81","2.32M","0.58%"
"04/25/2019","138.63","139.70","139.75","137.71","2.91M","-0.94%"
"04/24/2019","139.95","140.60","141.31","139.78","2.77M","-0.35%"
"04/23/2019","140.44","139.15","140.92","138.94","4.46M","1.12%"
"04/22/2019","138.89","139.42","140.56","138.48","4.49M","-1.03%"
"04/18/2019","140.33","139.00","140.49","138.70","4.96M","0.88%"
"04/17/2019","139.11","137.37","141.98","136.26","12.53M","-4.15%"
"04/16/2019","145.14","144.40","145.39","144.02","6.30M","0.86%"
"04/15/2019","143.90","144.40","144.46","143.27","3.60M","-0.31%"
"04/12/2019","144.35","144.26","144.44","143.70","2.90M","0.40%"
"04/11/2019","143.78","143.80","144.11","143.03","2.94M","0.53%"
"04/10/2019","143.02","142.20","143.50","141.98","2.68M","0.64%"
"04/09/2019","142.11","142.66","142.95","141.84","3.04M","-0.89%"
"04/08/2019","143.39","143.02","143.42","142.87","2.12M","0.08%"
"04/05/2019","143.28","143.29","143.50","142.46","2.73M","0.35%"
"04/04/2019","142.78","143.62","144.14","142.54","2.77M","-0.59%"
"04/03/2019","143.63","143.65","144.22","143.01","2.68M","0.44%"
"04/02/2019","143.00","143.35","143.95","142.60","2.40M","-0.21%"
"04/01/2019","143.30","141.51","143.41","141.51","3.98M","1.56%"
"03/29/2019","141.10","140.50","141.22","140.15","3.10M","0.84%"
"03/28/2019","139.92","139.91","140.44","139.10","2.66M","0.49%"
"03/27/2019","139.24","140.41","140.49","138.40","3.10M","-0.70%"
"03/26/2019","140.22","139.93","141.02","139.42","2.55M","0.75%"
"03/25/2019","139.18","139.06","139.91","138.35","2.84M","-0.19%"
"03/22/2019","139.45","140.97","141.44","138.90","3.88M","-1.41%"
"03/21/2019","141.44","139.10","142.12","138.88","3.61M","1.32%"
"03/20/2019","139.60","140.53","140.70","138.98","3.65M","-0.63%"
"03/19/2019","140.49","140.96","141.70","140.00","3.48M","0.20%"
